"lhs_id","TP","FN","OFF_TARGET","CORRECT_ABSENCE","neg_samples_n","neg_samples_fp","sensitivity_pct","specificity_like_pct","avg_sens_spec_like_pct","min_sens_spec_like_pct","aviti_bleed_ratio_min_pct","aviti_min_genome_coverage_pct","aviti_min_reads_per_million_filtered"
4522,19,15,1,357,14,0,55.88,100,77.94,55.88,9.9954558869295,39.8321879133563,11.9116934667082
4523,21,13,2,356,14,0,61.76,100,80.88,61.76,5.7700891586297,25.6463947803015,9.89000107810642
4524,23,11,3,355,14,0,67.65,100,83.82,67.65,6.82821251575868,0.205676606776193,8.73585203044899
4525,20,14,1,357,14,0,58.82,100,79.41,58.82,2.42220857276581,37.3657993101005,15.3432151943088
4526,18,16,1,357,14,0,52.94,100,76.47,52.94,5.81988449376426,41.4745390670459,17.0357737824737
4527,20,14,2,356,14,0,58.82,100,79.41,58.82,1.80394524223881,28.1946672678197,6.5363970500927
4528,19,15,1,357,14,0,55.88,100,77.94,55.88,9.14908319975513,39.3449616230673,9.13215978615889
4529,21,13,2,356,14,0,61.76,100,80.88,61.76,8.44377349684916,8.64123652150249,13.4645829536199
4530,21,13,2,356,14,0,61.76,100,80.88,61.76,6.04983496061452,10.9104662563184,5.26218438553112
4531,22,12,3,355,14,0,64.71,100,82.35,64.71,9.09928433480607,3.02979194319283,5.97371855949098
4532,20,14,1,357,14,0,58.82,100,79.41,58.82,5.02633300191015,35.7452903096527,18.0428986545507
4533,19,15,1,357,14,0,55.88,100,77.94,55.88,4.92305942437837,38.472597593125,5.0585561094353
4534,20,14,1,357,14,0,58.82,100,79.41,58.82,6.78831154563096,33.476741627128,9.53435352352038
4535,20,14,2,356,14,0,58.82,100,79.41,58.82,8.14947593654154,27.9664736004118,11.3401804604252
4536,18,16,1,357,14,0,52.94,100,76.47,52.94,3.92498987194735,49.6953634435325,8.90417674250398
