"lhs_id","TP","FN","OFF_TARGET","CORRECT_ABSENCE","neg_samples_n","neg_samples_fp","sensitivity_pct","specificity_like_pct","avg_sens_spec_like_pct","min_sens_spec_like_pct","ont_bleed_ratio_min_pct","ont_min_nb_reads","ont_min_genome_coverage_pct"
47212,13,21,4,354,14,0,38.24,100,69.12,38.24,3.16367572941473,39,12.414726659728
47213,11,23,3,355,14,0,32.35,100,66.18,32.35,4.29933627017552,59,42.4176535492414
47214,13,21,6,352,14,0,38.24,100,69.12,38.24,9.52262483293591,62,4.93147767270706
47215,15,19,4,354,14,0,44.12,100,72.06,44.12,2.09047486416402,20,12.4433535365621
47216,13,21,3,355,14,0,38.24,100,69.12,38.24,3.88296190318074,29,33.4652726339914
47217,11,23,3,355,14,0,32.35,100,66.18,32.35,7.12069888446266,94,42.9460987414796
47218,11,23,6,352,14,1,32.35,92.86,62.61,32.35,2.2851368308658,92,10.368606665707
47219,12,22,3,355,14,0,35.29,100,67.65,35.29,8.1384322250738,56,34.7730653473708
47220,12,22,3,355,14,0,35.29,100,67.65,35.29,6.99792519539471,56,32.4675488177656
47221,11,23,3,355,14,0,32.35,100,66.18,32.35,3.46455367966313,83,49.4332878437223
47222,15,19,4,354,14,0,44.12,100,72.06,44.12,0.641796188773471,3,18.6419342295725
47223,14,20,7,351,14,1,41.18,92.86,67.02,41.18,0.0160230605744291,18,20.3909452140044
47224,13,21,4,354,14,0,38.24,100,69.12,38.24,5.22424606664937,25,20.4299019102936
47225,12,22,5,353,14,0,35.29,100,67.65,35.29,0.0729626168658724,83,11.5715281338075
47226,12,22,3,355,14,0,35.29,100,67.65,35.29,7.36484177898376,32,39.4724606107678
47227,12,22,3,355,14,0,35.29,100,67.65,35.29,0.261208925880934,72,30.0798666718712
47228,13,21,4,354,14,0,38.24,100,69.12,38.24,4.75333688066504,41,18.4260337616052
47229,13,21,4,354,14,0,38.24,100,69.12,38.24,9.86758778218911,34,20.9387913394197
47230,13,21,4,354,14,0,38.24,100,69.12,38.24,3.99389882884924,23,13.5336374750562
47231,12,22,3,355,14,0,35.29,100,67.65,35.29,6.15781039220134,40,39.3215059408332
47232,12,22,3,355,14,0,35.29,100,67.65,35.29,8.74201280293225,51,34.2708792545559
47233,12,22,3,355,14,0,35.29,100,67.65,35.29,3.99564850949836,28,45.4549099982033
